player,strengths,weaknesses,h,w,p,school,c,draft_class
Kyrie Irving,":  A “true” PG with a great feel for the game … Charismatic player with the imagination and mindset to become a standout PG at the NBA level , “has a chance to be special”… A facilitator who shows the ability to make those around him better … Great vision and passing skills … Great burst. Has the blow by speed to get past defenders off the dribble … Good decision maker. Looks to make the right play instead of always trying to dazzle … Doesn’t force shots or overdribble (improved this in his limited time at Duke) … Excellent shooter with the ability to get shots within the flow of the offense …  Jumpshot has great form … Has range out to NBA three and just needs time to gain consistency on it … Good one on one skills … Can pull up off the dribble … A strong finisher exhibiting good body control … Ambidextrous with the dribble, showing impressive ability to go to the left and finish with his off hand … Has excellent ball handling ability with a nasty crossover … High motor kid who gets strong reviews for his character and work ethic … Has a good wingspan and big hands which are obviously positive attributes … Very efficient shooter : 53% fg, 90% ft, 45% 3p … Solid defender with adequate size. Gets low, fundamental, doesn’t gamble too often. Plays the passing lanes well (1.5 spg) …  ",":  Durability is a legitimate concern after he missed all but 8 games of his freshman season (heading into the post season)  …  The big question is whether this was a fluke (turftoe injury) or indicative of a bigger problem … Lack of experience at the college level  is concerning considering how difficult it is to master the position at the next level … Could struggle with the transition to the NBA game with just 8 games of NCAA experience under his belt. Granted he looked advanced for a freshmen PG … Has solid athleticism, but not elite … Not known for highlight reel dunks or a player who overwhelms opponents with his physicality … Needs to continue to work on his strength in order to improve his ability to finish and defensively … Tendency to get out of control attacking the basket … Put up tremendous numbers in his first 8 games, however it’s questionable he would have sustained that for an entire season through conference play … Appears to have the total package but missing such a huge portion of his freshman season makes him a risk. A team will have to roll the dice on limited college experience and exposure … ",6-3,191,PG,Duke,Fr.,2011
Derrick Williams,": Williams’ production in his 2 years at Arizona were phenomenal, as he managed to improve on his excellent Fr. stats across the board … In terms of physical tools, Williams has very good size for a combo forward, boasting a very strong 6’9 248 lb frame with a long 7’1 wingspan added for good measure … Very fluid and smooth athlete, who also flashes explosiveness leaping off of 2 feet … A true matchup problem for defenders, Williams uses his strong footwork and soft touch to score the ball with very good effectiveness in the post or facing up … His shooting ability is good, as evidenced by his 57% 3-point percentage (albeit on a limited 2 attempts a night), and he uses it to keep his matchup honest so they can’t play off of him … Also functional from mid-range, as a threat to slash or shoot … One of the best isolation players in the entire draft, as PF’s have big trouble with his rangy first step and body control for a guy his size, and SFs are generally at a disadvantage in terms of their size and strength … Has an ease at which he creates shots from the PF spot that will continue to make him a big threat from that position, and his size is certainly adequate enough to play down low too … Fairly decisive finisher down low, who uses his wide lower body to seal in good position to get the pass and go up with shots before the defense collapses on him … Works hard moving without the ball, and isn’t indifferent to throwing his body in his man down low to establish very deep position … Although he’s not likely to seal NBA PF’s as much as he did in college, he also can post from mid-range and utilize quick spins and turnaround moves to use his dribble drive game to his advantage … Understands how to shield defenders using his body off the dribble … Strong finisher, who will at times slip free of the D around the rim and make emphatic dunks as a 2 footed leaper … Very capable finisher with both hands … Pretty easy shooting stroke with a soft touch and compact fundamentals that are very consistent … Pretty good offensive rebounder due to his quick 2nd bounce and solid motor, and will get high percentage shots every game due to this … Won’t take very many bad shots, which is a great sign due to the go-to role he embraced for 2 years … Got to the foul line a lot due to his ability to be a mismatch, shot an OK percentage (74%) once there, and this aspect of his game will very likely translate to the NBA as well … Super efficient, and scored 19.5 ppg on just 10 FG attempts a game … Ability to develop from a fairly unheralded recruit, to a surprisingly productive Fr., then to improve on a great Fr. season across the board as a Soph. speaks to his work ethic, and he still can make improvements on his weaknesses right now to continue to grow … Showed the ability to step up in big situations with kep plays to win games …  ",": Considered a combo forward, and there are some questions about what position he will defend with the most effectiveness … Insists that he sees himself as a SF more than a PF, but he has never really played SF dating back to HS, and would certainly be a shaky defender against NBA SF’s … Hard to see him being as efficient and effective if he plays more SF than PF, although he certainly will be able to play some legit time on the wing … Was a pretty modest defensive player in college, as his lateral quickness is mediocre and his length is just OK, which are respective problems for the SF and PF positions … Definitely has wavering intensity on this end, and will allow baskets without much resistance around the rim, particularly against the bigger, more athletic PF’s he faced … Wasn’t that great a defensive rebounder (5.5 a game) and will ball-watch, and gives up rebounds on the defensive end that give offenses 2nd chance opportunities at times … Although he generally is decisive, Williams struggles at times with defenders crowding him and is pretty turnover prone when he gets collapsed upon … Doesn’t look to pass the ball very much … Saw limited minutes at times in games due to foul trouble … Won’t be a big threat in the passing lanes or blocking shots at the NBA level … ",6-8,248,SF/PF,Arizona,So.,2011
Enes Kanter,": Bigman with excellent size, strength and polish … Combines brute strength with a high skill level … Soft hands … Long arms and solid athleticism allow him to be a force in the paint … A tremendous rebounder. Plays with a high motor and enjoys contact … Has a strong frame and a high basketball IQ … Has a scorers mentality. Owns a diverse offensive game with the ability to use post moves and strength to score on his opponent or face the basket and knock down mind-range jumpshots … Has the strength to muscle through contact and finish … Smooth offensive game. Has a soft touch and excellent shooting motion … Good free throw shooter … Has legitimate center size. Measured 6-11, 261 lbs at the LeBron James Skills Academy in July … Possesses great dexterity and body control for a bigman … Coachable kid with a positive attitude and strong work ethic …  ",": One of the big concerns scouts have with Kanter is his physical health. He has had a history of knee problems and there are concerns about his knees not checking out 100% when he has NBA physicals … Foot speed is good but not at the level of some of the top inside forces in the NBA … Played one year of high school ball at Stoneridge Prep in Simi Valley, California and was somewhat inconsistent …  ",6-11,259,PF/C,Kentucky,Fr.,2011
Jonas Valanciunas,": Lithuanian bigman with great size and rebounding instincts … Has a long 6’11"" frame and a huge wingspan to go along with it … Very fluid athlete … Runs the court well for a center … Good quickness and solid explosiveness/leaping ability … Strength/weight has been improving, and he should continue to add more in the future … Uses all of his physical skills to the fullest when attacking the glass … Extremely aggressive rebounder both offensively and defensively … Gets a lot of tip-ins and put-backs … Shows a good understanding of boxing out, which is somewhat rare for young players … Uses great length to either grab or tip out-of-area rebounds to teammates … Solid shot blocker with the potential to be very good in this area … Competes hard on defense … Length allows him to contest entry passes … Super active on both ends of the court … In the paint he shows a variety of developing moves … Has a nice jump-shot from 8-12 feet away from the hoop … Has great shooting mechanics and an extraordinarily soft touch for a bigman … Has a developing hook shot that could be deadly in time … Often used in pick and roll situations … Favorite move is to ""slip"" after setting up for a pick, and cut to the rim … Keeps the ball high and away from any secondary defenders … Incredibly efficient (shot 70.8% from the field in the Euroleague) … Doesn’t miss a lot of shots because he operates so close to the rim … If he doesn’t have a high-percentage shot he immediately passes the ball out … Remarkable free-throw shooter (88.5%) … Tough player that’s not afraid of contact … Just turned 19 and has a great deal of potential … Has a lot of enthusiasm for the game, and eager to improve. Unlike a lot of bigmen that were pushed into the game of basketball, it’s obvious he has a genuine love for the game …  ",":  Can’t create his own offense yet … Has a budding set of skills in the post, but needs teammates who can set him up … No real perimeter game … Almost all offense comes from around the hoop … Very unselfish but not a talented passer … Makes a lot of mistakes when trying to pass out of double teams … Plays very aggressively, which is a good quality, but it gets him in foul trouble quickly … Needs to learn how to play good defense without fouling … Hasn’t developed the habit of remaining stationary when setting screens … Struggles guarding stronger players … Still skinny, though he is showing progress in this area … Is currently signed with Lietuvos Rytas and the buyout option in his contract is over $3 million dollars, so he may not see the NBA for a few seasons … Very wet behind the ears.  ",6-11,240,C,Lithuania,Intl.,2011
Brandon Knight,": Heady point guard with great size and explosive scoring ability … Very natural scorer with an effortless shooting ability and excellent instincts off the dribble … Very quick in half-court situations … Great first step … Penetrates the defense and gets into the paint with ease … Possesses a good-looking runner, which can be extremely useful for point guards at the next level … A fast runner in the open court … Makes good decisions in fast-break opportunities … Great size for a point guard, standing 6’3.25"" in shoes with a 6’6.75"" wingspan … Uses his length and solid athleticism to finish well around the rim … Looks comfortable with the ball in his hands … Creates shots well for himself … Uses a lot of hesitations and fakes to get himself open … Shoots the ball often and with confidence … Already has NBA three-point range … Likes to surprise the defense with a quick pull-up jumper just inside the arc … Doesn’t get rattled easily … Thrives in high-pressure situations … Had a reputation for being a clutch performer in high school and has certainly lived up to that at Kentucky (game-winners against Princeton and Ohio State in the NCAA tournament) … Unselfish passer who looks to keep his teammates involved … Good timing in pick and roll situations … Very smart defender that doesn’t gamble for steals a lot … Has the quick feet and long arms to stay in front of his man and deny penetration … Highly competitive and mature … Had a 4.0 GPA at Kentucky, which suggests that he is also responsible off the court … Only 19 years old with a strong work-ethic and a high upside … Will continue to improve … ",": Not a pure point guard … Ball handling ability needs a lot of work. His dribble is too high and will be easy to pick unless he improves upon it … Passing ability is respectable, but not intuitive … Very turnover prone, especially when trying to create for others … Gets caught trying to make ""home run"" passes at times, when a more conservative approach would save his team the possession… Efficiency leaves something to be desired … Only shot 42.3% from the floor… Very streaky shooter … Takes ill-advised shots, which aren’t really a problem when he’s hot, but can make you scratch your head if he wasn’t having a good game to begin with… Athletically, his leaping ability is fairly average… Isn’t a real threat to explode vertically or dunk on the defense … At 177 lbs, he’ll get pushed around by the stronger guards in the NBA … ",6-3,177,PG/SG,Kentucky,Fr.,2011
Jan Vesely,": Possesses a terrific combination of size and length for the SF position … Offensively, he improved his low post game and is looking to post up more this year; he can post up smaller defenders and uses his height advantage to score over defenders; has a height/length advantage on almost every player in Europe … Jan has good motor and excellent ability to run the floor (most of his points are off of dunks, put-backs and points in transition) … Good hands around the basket … Facing up to the basket, he is able to get to the rim quickly due to his quickness and good first step. Very explosive off the floor when attacking the bucket and finishes strong … As a shooter he improved since last year and feels more confident taking shots outside the 3pt line and creating off the dribble; his mechanics and follow-through look fluid; good elevation on his shot … If he catches the ball and his feet are set and pointed towards the basket he usually will knock down shots … Defensively he is good, thanks to his length and can guard multiple positions … His lateral quickness is impressive for his size and he does a solid job at moving his feet (good P&R defender and closes well on the perimeter staying in front of guards) … Plays with lot of emotion … A competitive player that hustles for loose balls and brings energy on the court … ",": Vesely needs to continue improving his offensive skills. He’s still a work in progress as a player as his athleticism and ""wow plays"" exceed his effectiveness and consistency … He has had a decent season but more was expected from him coming into the year … He is limited to one or two dribbles when creating off the dribble and needs to improve his 1-on-1 game and ball-handling skills … Has to become more efficient/consistent shooter overall (50% FG, 46% FT, 46.3% 3FG in Euroleague and 74.1 % FG, 51% FT, 31.8% 3FG in NLB League) … Hasn’t added any weight since last year and will have to get stronger in order to compete in the NBA; still has trouble finishing plays under pressure … Has strength and athleticism but not productive enough as a rebounder (4.4 rpg in NLB League and only 2.9 rpg in Euroleague) … Could run into some problems fitting into an NBA position as his length slows him some on the perimeter in the half court set and he lacks the strength and toughness to play in the paint right now … Stevan Petrovic 1/31/11 Strengths: One of the most intriguing international prospects … At 6’11, he is not only comfortable shooting the ball from deep (with nice form and a smooth release), but he is more than capable of handling it in transition and running the fast break … He is a very active, energy type player who plays extremely hard and rarely takes plays off … A great motor to go along with good hands and feet, allows him to play a variety of positions on the floor … Shows potential to become a full time player on the perimeter, he is capable of putting the ball on the floor and attacking the basket … Has the explosiveness to get by the defender and to finish above the rim in traffic … He is a good slasher and he moves extremely well without the ball, either using screens or cuts to get into scoring positions … He is a very good rebounder, showing good instincts and willingness to attack the glass … For a young player of his size, his passing ability might be the most surprising, he can find teammates with pinpoint passes and he can also do it off the dribble … Defensively, his length and athleticism allow him to block and alter many shots as well as get into the passing lanes … The experience that he is getting playing during key moments on the biggest European stage has done wonders to both his development and maturation … Not many 18 year olds are put in a position where they are expected to contribute on a nightly basis, but he has been asked exactly that and has performed… ",6-11,230,SF/PF,Czech Republic,Intl.,2011
Tristan Thompson,": A lefty post player with a tremendous wingspan … He has made improvements to his body, shedding the baby fat he carried throughout high-school, he has also added some mass and definition (his frame shows the potential to support even more weight without taking away from his explosiveness) … A good athlete, he is able to make plays on both ends of the floor thanks to his length, energy and blue collar approach… He establishes good early position and gets a high number of easy looks in transition thanks to his ability to run the floor … Battles for position and is able to get touches very close to the basket because he seals and counterseals extremely well … Has very good hands and makes difficult catches in traffic and on the move … Shows the ability to turn to both shoulders effectively and can finish with mini jump hooks with both hands  … He is becoming more comfortable using his body and quick feet to beat defenders to the spot …  He flashes the ability to faceup and attack off the bounce, but he will need to continue to polish his handles before he can fully utilize his quick and long first step … Finds the seams in the defence and gets to the openings for quick and easy finishes without having plays run for him … When his energy level is high he can be a very good rebounder, especially on the offensive end … He has an extremely quick second jump, and he is able to time his attack and get his hands on a high percentage of missed shots … His length also posses problems on the defensive end, as he is able to recover quickly or slide over from the weakside to block and contest shots around the basket …  ",": At 6-9 he is a bit on the short side as a power forward at the next level … Although he has terrific length, and good athleticism, they do not negate his size issues completely … Also, at this point in his career he plays more as a center as his game is strictly confined to the low block … The major inadequacy that limits his game to the paint is the fact that his jumper needs serious work … He showed very little confidence in it all year and the ones he did take looked hesitant and were off-balance (he shoots with a major fade on almost every shot) … He shoots the ball over his head and extends the release too high, making his stroke very erratic and the results extremely inconsistent… To compound the issue, he shot an abysmal 49% from the foul line, raising the concern level on his outside touch even more … He needs to improve his back to the basket repertoire, adding counter moves once his initial drive gets cut off would benefit his game … Struggles against stronger defenders, can be bodied out of position and into off-balance shots … He is an inconsistent performer, his energy fluctuates drastically from game to game, and he doesn’t play with the same drive every night … Has disappeared in some big games this season … There is a strong correlation between his scoring and rebounding numbers, if he doesn’t get touches early in the game he will not look to get to the glass with the same aggressiveness on either end …  Born in 1991, he is a full year older than his class … Borko Popic 4/26/11    SEASON   TEAM   MIN   PTS   REB   AST   TO   A/T   STL   BLK   PF   FG%   FT%   3P%   PPS  2010-2011 Texas 30.9 13.1 7.8 1.3 1.8 0.70 0.9 2.4 2.8 0.546 0.487 0.000 1.50 Per Game Texas 30.9 13.1 7.8 1.3 1.8 0.70 0.9 2.4 2.8 0.546 0.487 0.000 1.50    SEASON   TEAM   GP   MIN   FG   FGA   FTM   FTA   3PM   3PA   PTS   OFF   DEF   TOT   AST   TO   STL   BLK   PF  2010-2011 Texas 36 1114 172 315 127 261     471 138 144 282 45 64 34 86 100 Totals Texas 36 1114 172 315 127 261     471 138 144 282 45 64 34 86 100    YouTube Clip – 10/3/2008     ",6-9,227,PF,Texas,Fr.,2011
Bismack Biyombo,": A very explosive 6’9” center with a terrific wingspan … He’s able to run the floor with very good speed and hustles at all times … As he gains experience, his skills will certainly permit him to become a very solid defensive player, possibly a shot blocking specialist … Quickness and footspeed are surely good enough to defend inside players, hedge and recuperate on the pick and roll … Toughness and intensity are fine, balance is okay too, although as he gets stronger and adds volume it’ll be easier for him to hold inside positions and become a better finisher in the paint. Biyombo is a player who likes to play above the rim. Additionally he has nice skills in the low post to attack the basket, using fakes, spin moves and jump hooks … A quick first step and ability to put the ball on the floor allow him also to make one dribble power moves to the basket .. Appears to be a quick study, developing his skill level to the point where it is … There have been numerous African players who have been brought to European leagues and failed to accomplish what Biyombo has (impacting a high level ACB team) … As for rebounding, Bismack usually tries to box out and goes for offensive boards quite fiercely … In just a few months playing with the first team of Fuenlabrada in the ACB, defensive positioning in help side has improved a lot to become a consistent intimidating force in the paint … considered a high character kid by all accounts … Hands aren’t bad considering how raw he is and that many African players have below average hand eye coordination, and he could even develop into a pick and roll option.  ",": Offensive game is a long ways from being NBA ready … He still needs to develop his footwork and overall awareness … Doesn’t have the needed confidence in his left hand yet and has to go right to finish inside. His outside shooting lacks polish … Right now his passing is only average … His general basketball knowledge and awareness on both sides of the court show his lack of experience … Fundamentals and timing on rebounds can improve … Several relatively basic concepts in both offense and defense aren’t yet automatic in his game … Too often loses rebounds by jumping in an uncontrolled fashion for blocked shots instead of keeping his inside position to box out his opponent …  Nico Van den Bogaerd 6/12/11  Strengths: A bigtime shot blocker with tremendous length (7-7 wingspan) and athleticism for a bigman. Intimidating force on the defensive end … Protects the rim well and shows excellent timing and reflexes on blocked shots … Runs the floor very fast. Plays with a high motor, brings energy to the team defensively … Has made an impact at the senior level in Europe playing in Spain (17 min, 6.4 ppg and 5 rpg, 2.3 blk) in a short amount of time … Thick, strong legs. Powerful frame. Already has an NBA body … Hustles for rebounds … Shows a mature, positive attitude. Speaks English well … His offensive rebounding and put backs are currently his most effective offensive weapon …  ",6-9,243,C,Congo,Intl.,2011
Kawhi Leonard,": A hybrid forward with terrific length … He has a high motor and plays the game with a lot of energy … Spends majority of the time on the perimeter, but occasionally shows the ability to play with his back to the basket … Uses an effective turnaround jumper inside when posting up … An agile athlete, his strides are extremely long and he covers a lot of space when running the floor … Shows improvement in majority of areas from freshman to sophomore seasons … His shooting has improved and he has become a respectable threat from the outside … Operating out of the triple threat, he combines a nice jab with a fairly quick and long first step to create separation … He has a strong preference going to his pull-up jumper, and once he gets into a rhythm he can string a number makes together (his length and high release make it a difficult shot to contest) … He is fairly comfortable handling the ball in the open court and is capable of pushing it out off the rebound when the situation calls for it … Even with the improvements to his offensive game, he still continues to contribute heavily in the rebounding department … His huge hangs, length, energy and great timing, allow him to snatch balls on both ends that are well outside of his rebounding area … An extremely quick jumper, he is very good at tipping the ball and keeping it alive on the rim … Has the instincts and shows potential in becoming a very solid defender … His ability to get out in the passing lanes and also contest shots inside make him a very dangerous weapon on the defensive end … ",": Does not have one aspect offensively that stands out or which allows him to consistently score the ball … With his size and frame, will almost certainly be a perimeter player at the next level, but he lacks the polish and skill necessary to consistently operate on the wing … He does not have break down ability off the dribble and he is especially shaky handling the ball with his left hand …  His jumpshot (while definitely improved) is still very inconsistent … The release comes high off his head and it is somewhat of a sling motion, which results in a fairly flat shot that goes all over the place … At this level, he has a size advantage on almost a nightly basis, but he still chooses to take the majority of his shots from the outside … Takes a high number of off balance shots, but does not show the ability to convert them at a good percentage … He does not have a great touch around the basket, and unless he can get inside position on the defense, he struggles finishing when contested … Not very disciplined defensively, he gambles far too often and leaves his team susceptible to giving up easy baskets … Borko Popic 2/1/11      SEASON   TEAM   MIN   PTS   REB   AST   TO   A/T   STL   BLK   PF   FG%   FT%   3P%   PPS  2009-10 SDState 31.3 12.7 9.9 1.9 2.3 0.84 1.4 0.7 2.5 0.455 0.726 0.205 1.19 2010-11 SDState 32.6 15.5 10.6 2.5 2.1 1.20 1.4 0.6 2.5 0.444 0.759 0.291 1.17 PerGame   31.9 14.1 10.2 2.2 2.2 1.02 1.48 0.6 2.5 0.449 0.744 0.250 1.18      SEASON   TEAM   GP   MIN   FG   FGA   FTM   FTA   3PM   3PA   PTS   OFF   DEF   TOT   AST   TO   STL   BLK   PF  2009-10 SDState 34 1064 166 365 85 117 16 78 433 119 217 336 65 77 47 24 85 2010-11 SDState 36 1172 211 475 110 145 25 86 557 111 269 380 91 76 51 21 89 Totals   70 2236 377 840 195 262 41 164 990 230 486 716 156 153 98 45 174       ",6-7,227,SF,San Diego St.,So.,2011
Jimmer Fredette,": An absolutely relentless scorer … Led nation in points per game with 28.9 … Wide array of ways to put the ball in the basket … Great size and strength for a point guard … Strong finisher around the rim … Uncanny shooting ability … Volume shooter that maintains efficiency; averaged 3.3 three-pointers made per game in his senior season on 39.6% … Gets an outstanding amount of elevation on his jump shot … Won’t dazzle with high-flying dunks, but uses the athleticism he has very well … Tough to stop in transition … Can pull-up for a quick jump shot from anywhere on the court … Unlimited range … Supreme confidence in his shooting ability, won’t hesitate to fire from as far as 30 feet away from the basket … Able to make shots even when appearing well off-balance … Great free-throw shooter (89.4%) … Underrated quickness … Nasty ball-handling ability … Deadly crossover … Frequently throws off defenders with well-timed hesitations moves off the dribble … Can create a lot of space for himself, with or without the ball … Doesn’t have to dominate the ball to be effective … Crafty mid-range game … Comes off screens extremely well … Automatic catch-and-shoot ability … Talented passer that has the ability to create open shots for his teammates … Thrives in high-pressure situations … Very unselfish … Very high basketball IQ … Tough, physical player that doesn’t shy away from contact … Gym rat, always focused on improving his game … Smart, well-spoken kid that always seems to impress in his interviews … ",": A very poor defender at BYU …  His team couldn’t afford for him to get in foul trouble which may account for his lackluster defensive effort … Struggles to close out on shooters … As the primary offensive option on his team, he hasn’t proven he can be a pass-first point guard … Assist-to-turnover ratio is poor (4.3 assists to 3.5 turnovers), but understandable due to his role on the team … Prone to getting blocked on his drives to the rim … Athleticism is certainly below average for an NBA point guard, which may hinder his ability to get his shot off at the next level … ",6-2,196,PG,,Sr.,2011
